PLZ,Bundesland-de
1000,Wien
1004,Wien
1006,Wien
1010,Wien
1011,Wien
1013,Wien
1015,Wien
1016,Wien
1017,Wien
1018,Wien
1020,Wien
1021,Wien
1022,Wien
1023,Wien
1024,Wien
1025,Wien
1026,Wien
1027,Wien
1029,Wien
1030,Wien
1031,Wien
1032,Wien
1033,Wien
1034,Wien
1035,Wien
1037,Wien
1038,Wien
1039,Wien
1040,Wien
1041,Wien
1042,Wien
1043,Wien
1045,Wien
1046,Wien
1047,Wien
1050,Wien
1051,Wien
1052,Wien
1053,Wien
1054,Wien
1060,Wien
1061,Wien
1062,Wien
1063,Wien
1064,Wien
1065,Wien
1070,Wien
1071,Wien
1072,Wien
1075,Wien
1080,Wien
1081,Wien
1082,Wien
1090,Wien
1091,Wien
1092,Wien
1093,Wien
1094,Wien
1095,Wien
1097,Wien
1100,Wien
1101,Wien
1102,Wien
1103,Wien
1104,Wien
1105,Wien
1106,Wien
1107,Wien
1108,Wien
1109,Wien
1110,Wien
1111,Wien
1113,Wien
1114,Wien
1115,Wien
1117,Wien
1120,Wien
1121,Wien
1122,Wien
1124,Wien
1125,Wien
1127,Wien
1128,Wien
1130,Wien
1131,Wien
1132,Wien
1133,Wien
1134,Wien
1136,Wien
1140,Wien
1141,Wien
1142,Wien
1143,Wien
1144,Wien
1146,Wien
1147,Wien
1148,Wien
1150,Wien
1151,Wien
1152,Wien
1153,Wien
1155,Wien
1156,Wien
1160,Wien
1161,Wien
1162,Wien
1163,Wien
1165,Wien
1166,Wien
1170,Wien
1171,Wien
1172,Wien
1173,Wien
1174,Wien
1180,Wien
1181,Wien
1182,Wien
1183,Wien
1184,Wien
1190,Wien
1191,Wien
1192,Wien
1193,Wien
1194,Wien
1195,Wien
1196,Wien
1200,Wien
1201,Wien
1203,Wien
1205,Wien
1206,Wien
1208,Wien
1210,Wien
1211,Wien
1212,Wien
1213,Wien
1214,Wien
1215,Wien
1217,Wien
1218,Wien
1219,Wien
1220,Wien
1221,Wien
1222,Wien
1223,Wien
1224,Wien
1225,Wien
1227,Wien
1228,Wien
1229,Wien
1230,Wien
1231,Wien
1233,Wien
1235,Wien
1236,Wien
1238,Wien
1239,Wien
1251,Wien
1252,Wien
1253,Wien
1254,Wien
1255,Wien
1300,Wien
1301,Wien
1310,Wien
1321,Wien
1400,Wien
1402,Wien
1421,Wien
1423,Wien
1500,Wien
1502,Wien
1503,Wien
1600,Wien
1601,Wien
1810,Wien
1901,Wien
2000,Niederösterreich
2002,Niederösterreich
2003,Niederösterreich
2004,Niederösterreich
2011,Niederösterreich
2013,Niederösterreich
2014,Niederösterreich
2020,Niederösterreich
2022,Niederösterreich
2023,Niederösterreich
2024,Niederösterreich
2031,Niederösterreich
2032,Niederösterreich
2033,Niederösterreich
2034,Niederösterreich
2041,Niederösterreich
2042,Niederösterreich
2051,Niederösterreich
2052,Niederösterreich
2053,Niederösterreich
2054,Niederösterreich
2061,Niederösterreich
2062,Niederösterreich
2063,Niederösterreich
2064,Niederösterreich
2070,Niederösterreich
2073,Niederösterreich
2074,Niederösterreich
2081,Niederösterreich
2082,Niederösterreich
2083,Niederösterreich
2084,Niederösterreich
2091,Niederösterreich
2092,Niederösterreich
2093,Niederösterreich
2094,Niederösterreich
2095,Niederösterreich
2100,Niederösterreich
2102,Niederösterreich
2103,Niederösterreich
2104,Niederösterreich
2105,Niederösterreich
2106,Niederösterreich
2111,Niederösterreich
2112,Niederösterreich
2113,Niederösterreich
2114,Niederösterreich
2115,Niederösterreich
2116,Niederösterreich
2120,Niederösterreich
2122,Niederösterreich
2123,Niederösterreich
2124,Niederösterreich
2125,Niederösterreich
2126,Niederösterreich
2127,Niederösterreich
2128,Niederösterreich
2130,Niederösterreich
2132,Niederösterreich
2133,Niederösterreich
2134,Niederösterreich
2135,Niederösterreich
2136,Niederösterreich
2137,Niederösterreich
2141,Niederösterreich
2143,Niederösterreich
2144,Niederösterreich
2145,Niederösterreich
2151,Niederösterreich
2152,Niederösterreich
2153,Niederösterreich
2154,Niederösterreich
2161,Niederösterreich
2162,Niederösterreich
2163,Niederösterreich
2164,Niederösterreich
2165,Niederösterreich
2170,Niederösterreich
2171,Niederösterreich
2172,Niederösterreich
2173,Niederösterreich
2181,Niederösterreich
2182,Niederösterreich
2183,Niederösterreich
2184,Niederösterreich
2185,Niederösterreich
2191,Niederösterreich
2192,Niederösterreich
2193,Niederösterreich
2201,Niederösterreich
2202,Niederösterreich
2203,Niederösterreich
2211,Niederösterreich
2212,Niederösterreich
2213,Niederösterreich
2214,Niederösterreich
2215,Niederösterreich
2221,Niederösterreich
2222,Niederösterreich
2223,Niederösterreich
2224,Niederösterreich
2225,Niederösterreich
2230,Niederösterreich
2231,Niederösterreich
2232,Niederösterreich
2241,Niederösterreich
2242,Niederösterreich
2243,Niederösterreich
2244,Niederösterreich
2245,Niederösterreich
2251,Niederösterreich
2252,Niederösterreich
2253,Niederösterreich
2261,Niederösterreich
2262,Niederösterreich
2263,Niederösterreich
2264,Niederösterreich
2265,Niederösterreich
2272,Niederösterreich
2273,Niederösterreich
2274,Niederösterreich
2275,Niederösterreich
2276,Niederösterreich
2281,Niederösterreich
2282,Niederösterreich
2283,Niederösterreich
2284,Niederösterreich
2285,Niederösterreich
2286,Niederösterreich
2291,Niederösterreich
2292,Niederösterreich
2293,Niederösterreich
2294,Niederösterreich
2295,Niederösterreich
2301,Niederösterreich
2304,Niederösterreich
2305,Niederösterreich
2320,Niederösterreich
2322,Niederösterreich
2324,Niederösterreich
2325,Niederösterreich
2326,Niederösterreich
2331,Niederösterreich
2332,Niederösterreich
2333,Niederösterreich
2334,Niederösterreich
2340,Niederösterreich
2342,Niederösterreich
2344,Niederösterreich
2345,Niederösterreich
2346,Niederösterreich
2348,Niederösterreich
2349,Niederösterreich
2351,Niederösterreich
2352,Niederösterreich
2353,Niederösterreich
2355,Niederösterreich
2356,Niederösterreich
2361,Niederösterreich
2362,Niederösterreich
2371,Niederösterreich
2372,Niederösterreich
2380,Niederösterreich
2381,Niederösterreich
2382,Niederösterreich
2384,Niederösterreich
2391,Niederösterreich
2392,Niederösterreich
2393,Niederösterreich
2401,Niederösterreich
2402,Niederösterreich
2403,Niederösterreich
2404,Niederösterreich
2405,Niederösterreich
2406,Niederösterreich
2410,Niederösterreich
2412,Niederösterreich
2413,Niederösterreich
2421,Burgenland
2422,Burgenland
2423,Burgenland
2424,Burgenland
2425,Burgenland
2431,Niederösterreich
2432,Niederösterreich
2433,Niederösterreich
2434,Niederösterreich
2435,Niederösterreich
2440,Niederösterreich
2441,Niederösterreich
2442,Niederösterreich
2443,Niederösterreich
2444,Niederösterreich
2445,Niederösterreich
2451,Niederösterreich
2452,Niederösterreich
2453,Niederösterreich
2454,Niederösterreich
2460,Niederösterreich
2462,Niederösterreich
2463,Niederösterreich
