PLZ,ISO-3166-2
1000,AT-9
1004,AT-9
1006,AT-9
1010,AT-9
1011,AT-9
1013,AT-9
1015,AT-9
1016,AT-9
1017,AT-9
1018,AT-9
1020,AT-9
1021,AT-9
1022,AT-9
1023,AT-9
1024,AT-9
1025,AT-9
1026,AT-9
1027,AT-9
1029,AT-9
1030,AT-9
1031,AT-9
1032,AT-9
1033,AT-9
1034,AT-9
1035,AT-9
1037,AT-9
1038,AT-9
1039,AT-9
1040,AT-9
1041,AT-9
1042,AT-9
1043,AT-9
1045,AT-9
1046,AT-9
1047,AT-9
1050,AT-9
1051,AT-9
1052,AT-9
1053,AT-9
1054,AT-9
1060,AT-9
1061,AT-9
1062,AT-9
1063,AT-9
1064,AT-9
1065,AT-9
1070,AT-9
1071,AT-9
1072,AT-9
1075,AT-9
1080,AT-9
1081,AT-9
1082,AT-9
1090,AT-9
1091,AT-9
1092,AT-9
1093,AT-9
1094,AT-9
1095,AT-9
1097,AT-9
1100,AT-9
1101,AT-9
1102,AT-9
1103,AT-9
1104,AT-9
1105,AT-9
1106,AT-9
1107,AT-9
1108,AT-9
1109,AT-9
1110,AT-9
1111,AT-9
1113,AT-9
1114,AT-9
1115,AT-9
1117,AT-9
1120,AT-9
1121,AT-9
1122,AT-9
1124,AT-9
1125,AT-9
1127,AT-9
1128,AT-9
1130,AT-9
1131,AT-9
1132,AT-9
1133,AT-9
1134,AT-9
1136,AT-9
1140,AT-9
1141,AT-9
1142,AT-9
1143,AT-9
1144,AT-9
1146,AT-9
1147,AT-9
1148,AT-9
1150,AT-9
1151,AT-9
1152,AT-9
1153,AT-9
1155,AT-9
1156,AT-9
1160,AT-9
1161,AT-9
1162,AT-9
1163,AT-9
1165,AT-9
1166,AT-9
1170,AT-9
1171,AT-9
1172,AT-9
1173,AT-9
1174,AT-9
1180,AT-9
1181,AT-9
1182,AT-9
1183,AT-9
1184,AT-9
1190,AT-9
1191,AT-9
1192,AT-9
1193,AT-9
1194,AT-9
1195,AT-9
1196,AT-9
1200,AT-9
1201,AT-9
1203,AT-9
1205,AT-9
1206,AT-9
1208,AT-9
1210,AT-9
1211,AT-9
1212,AT-9
1213,AT-9
1214,AT-9
1215,AT-9
1217,AT-9
1218,AT-9
1219,AT-9
1220,AT-9
1221,AT-9
1222,AT-9
1223,AT-9
1224,AT-9
1225,AT-9
1227,AT-9
1228,AT-9
1229,AT-9
1230,AT-9
1231,AT-9
1233,AT-9
1235,AT-9
1236,AT-9
1238,AT-9
1239,AT-9
1251,AT-9
1252,AT-9
1253,AT-9
1254,AT-9
1255,AT-9
1300,AT-9
1301,AT-9
1310,AT-9
1321,AT-9
1400,AT-9
1402,AT-9
1421,AT-9
1423,AT-9
1500,AT-9
1502,AT-9
1503,AT-9
1600,AT-9
1601,AT-9
1810,AT-9
1901,AT-9
2000,AT-3
2002,AT-3
2003,AT-3
2004,AT-3
2011,AT-3
2013,AT-3
2014,AT-3
