PLZ,Bundesland
1000,Vienna
1004,Vienna
1006,Vienna
1010,Vienna
1011,Vienna
1013,Vienna
1015,Vienna
1016,Vienna
1017,Vienna
1018,Vienna
1020,Vienna
1021,Vienna
1022,Vienna
1023,Vienna
1024,Vienna
1025,Vienna
1026,Vienna
1027,Vienna
1029,Vienna
1030,Vienna
1031,Vienna
1032,Vienna
1033,Vienna
1034,Vienna
1035,Vienna
1037,Vienna
1038,Vienna
1039,Vienna
1040,Vienna
1041,Vienna
1042,Vienna
1043,Vienna
1045,Vienna
1046,Vienna
1047,Vienna
1050,Vienna
1051,Vienna
1052,Vienna
1053,Vienna
1054,Vienna
1060,Vienna
1061,Vienna
1062,Vienna
1063,Vienna
1064,Vienna
1065,Vienna
1070,Vienna
1071,Vienna
1072,Vienna
1075,Vienna
1080,Vienna
1081,Vienna
1082,Vienna
1090,Vienna
1091,Vienna
1092,Vienna
1093,Vienna
1094,Vienna
1095,Vienna
1097,Vienna
1100,Vienna
1101,Vienna
1102,Vienna
1103,Vienna
1104,Vienna
1105,Vienna
1106,Vienna
1107,Vienna
1108,Vienna
1109,Vienna
1110,Vienna
1111,Vienna
1113,Vienna
1114,Vienna
1115,Vienna
1117,Vienna
1120,Vienna
1121,Vienna
1122,Vienna
1124,Vienna
1125,Vienna
1127,Vienna
1128,Vienna
1130,Vienna
1131,Vienna
1132,Vienna
1133,Vienna
1134,Vienna
1136,Vienna
1140,Vienna
1141,Vienna
1142,Vienna
1143,Vienna
1144,Vienna
1146,Vienna
1147,Vienna
1148,Vienna
1150,Vienna
1151,Vienna
1152,Vienna
1153,Vienna
1155,Vienna
1156,Vienna
1160,Vienna
1161,Vienna
1162,Vienna
1163,Vienna
1165,Vienna
1166,Vienna
1170,Vienna
1171,Vienna
1172,Vienna
1173,Vienna
1174,Vienna
1180,Vienna
1181,Vienna
1182,Vienna
1183,Vienna
1184,Vienna
1190,Vienna
1191,Vienna
1192,Vienna
1193,Vienna
1194,Vienna
1195,Vienna
1196,Vienna
1200,Vienna
1201,Vienna
1203,Vienna
1205,Vienna
1206,Vienna
1208,Vienna
1210,Vienna
1211,Vienna
1212,Vienna
1213,Vienna
1214,Vienna
1215,Vienna
1217,Vienna
1218,Vienna
1219,Vienna
1220,Vienna
1221,Vienna
1222,Vienna
1223,Vienna
1224,Vienna
1225,Vienna
1227,Vienna
1228,Vienna
1229,Vienna
1230,Vienna
1231,Vienna
1233,Vienna
1235,Vienna
1236,Vienna
1238,Vienna
1239,Vienna
1251,Vienna
1252,Vienna
1253,Vienna
1254,Vienna
1255,Vienna
1300,Vienna
1301,Vienna
1310,Vienna
1321,Vienna
1400,Vienna
1402,Vienna
1421,Vienna
1423,Vienna
1500,Vienna
1502,Vienna
1503,Vienna
1600,Vienna
1601,Vienna
1810,Vienna
1901,Vienna
2000,Lower Austria
2002,Lower Austria
2003,Lower Austria
2004,Lower Austria
2011,Lower Austria
2013,Lower Austria
2014,Lower Austria
2020,Lower Austria
2022,Lower Austria
2023,Lower Austria
2024,Lower Austria
2031,Lower Austria
2032,Lower Austria
2033,Lower Austria
2034,Lower Austria
2041,Lower Austria
2042,Lower Austria
2051,Lower Austria
2052,Lower Austria
2053,Lower Austria
2054,Lower Austria
2061,Lower Austria
2062,Lower Austria
2063,Lower Austria
2064,Lower Austria
2070,Lower Austria
2073,Lower Austria
2074,Lower Austria
2081,Lower Austria
2082,Lower Austria
2083,Lower Austria
2084,Lower Austria
2091,Lower Austria
2092,Lower Austria
2093,Lower Austria
2094,Lower Austria
2095,Lower Austria
2100,Lower Austria
2102,Lower Austria
2103,Lower Austria
2104,Lower Austria
2105,Lower Austria
2106,Lower Austria
2111,Lower Austria
2112,Lower Austria
2113,Lower Austria
2114,Lower Austria
2115,Lower Austria
2116,Lower Austria
2120,Lower Austria
2122,Lower Austria
2123,Lower Austria
2124,Lower Austria
2125,Lower Austria
2126,Lower Austria
2127,Lower Austria
2128,Lower Austria
2130,Lower Austria
2132,Lower Austria
2133,Lower Austria
2134,Lower Austria
2135,Lower Austria
2136,Lower Austria
2137,Lower Austria
2141,Lower Austria
2143,Lower Austria
2144,Lower Austria
2145,Lower Austria
2151,Lower Austria
2152,Lower Austria
2153,Lower Austria
2154,Lower Austria
2161,Lower Austria
2162,Lower Austria
2163,Lower Austria
2164,Lower Austria
2165,Lower Austria
2170,Lower Austria
2171,Lower Austria
2172,Lower Austria
2173,Lower Austria
2181,Lower Austria
2182,Lower Austria
2183,Lower Austria
2184,Lower Austria
2185,Lower Austria
2191,Lower Austria
2192,Lower Austria
2193,Lower Austria
2201,Lower Austria
2202,Lower Austria
2203,Lower Austria
2211,Lower Austria
2212,Lower Austria
2213,Lower Austria
2214,Lower Austria
2215,Lower Austria
2221,Lower Austria
2222,Lower Austria
2223,Lower Austria
2224,Lower Austria
2225,Lower Austria
2230,Lower Austria
2231,Lower Austria
2232,Lower Austria
2241,Lower Austria
2242,Lower Austria
2243,Lower Austria
2244,Lower Austria
2245,Lower Austria
2251,Lower Austria
2252,Lower Austria
2253,Lower Austria
2261,Lower Austria
2262,Lower Austria
2263,Lower Austria
2264,Lower Austria
2265,Lower Austria
2272,Lower Austria
2273,Lower Austria
2274,Lower Austria
2275,Lower Austria
2276,Lower Austria
2281,Lower Austria
2282,Lower Austria
2283,Lower Austria
2284,Lower Austria
2285,Lower Austria
2286,Lower Austria
2291,Lower Austria
2292,Lower Austria
2293,Lower Austria
2294,Lower Austria
2295,Lower Austria
2301,Lower Austria
2304,Lower Austria
2305,Lower Austria
2320,Lower Austria
2322,Lower Austria
2324,Lower Austria
2325,Lower Austria
2326,Lower Austria
2331,Lower Austria
2332,Lower Austria
2333,Lower Austria
2334,Lower Austria
2340,Lower Austria
2342,Lower Austria
2344,Lower Austria
2345,Lower Austria
2346,Lower Austria
2348,Lower Austria
2349,Lower Austria
2351,Lower Austria
2352,Lower Austria
2353,Lower Austria
2355,Lower Austria
2356,Lower Austria
2361,Lower Austria
2362,Lower Austria
2371,Lower Austria
2372,Lower Austria
2380,Lower Austria
2381,Lower Austria
2382,Lower Austria
2384,Lower Austria
2391,Lower Austria
2392,Lower Austria
2393,Lower Austria
2401,Lower Austria
2402,Lower Austria
2403,Lower Austria
2404,Lower Austria
2405,Lower Austria
2406,Lower Austria
2410,Lower Austria
2412,Lower Austria
2413,Lower Austria
2421,Burgenland
2422,Burgenland
2423,Burgenland
2424,Burgenland
2425,Burgenland
2431,Lower Austria
2432,Lower Austria
2433,Lower Austria
2434,Lower Austria
2435,Lower Austria
2440,Lower Austria
2441,Lower Austria
2442,Lower Austria
2443,Lower Austria
