Bezeichnung des Rechtsträgers;Straße und Hausnummer;PLZ;Ort;Land
'Hohentwiel' Schiffahrtsgesellschaft m.b.H.;Hofsteigstraße 8;6971;Hard;Österreich
1. Jihoceska vodohospodarska, spol. s.r.o.;Severni 8/2264;37010;Ceske Budejovice;Tschechische Republik
100 Jahre Elektrizitätswirtschaft, 40 Jahre Verbundkonzern in Österreich;Am Hof 6A;1010;Wien;Österreich
A-SIT Plus GmbH;Seidlgasse 22/9;1030;Wien;Österreich
A.D. BioErde und Kompost GmbH;Sturzgasse 16;8020;Graz;Österreich
A.ö. Krankenhaus der Elisabethinen Klagenfurt GmbH;Völkermarkter Straße 15-19;9020;Klagenfurt am Wörthersee;Österreich
A.Ö. Krankenhaus St. Josef Braunau GmbH;Ringstraße 60;5280;Braunau am Inn;Österreich
A&B Ausgleichsenergie & Bilanzgruppen-Management AG;Maria-Theresien-Straße 57;6020;Innsbruck;Österreich
ABBAG - Abbaumanagementgesellschaft des Bundes;Renngasse 6-8/Wächtergasse 1;1010;Wien;Österreich
ABC-Provider GmbH in Liqu.;Mariahilfer Straße 20;1070;Wien;Österreich
Abfall-Aufbereitungs GmbH;Flughafenstr. 8;4063;Hörsching;Österreich
Abfallbehandlung Ahrental GmbH;Handlhofweg 71;6020;Innsbruck;Österreich
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";Linzer Straße 145;3100;St. Pölten;Österreich
Abfallbeseitigungsverband der Region 10;Kirchplatzl 128a;6105;Leutasch;Österreich
Abfallbeseitigungsverband Innsbruck-Land;Münchner Straße 22 ;6130;Schwaz;Österreich
Abfallbeseitigungsverband Mittleres Unterinntal;Zentrum 1;6233;Kramsach;Österreich
Abfallbeseitigungsverband südöstliches Mittelgebirge;Dorf 34;6071;Aldrans;Österreich
Abfallbeseitigungsverband Westtirol;Tschirgantweg 1;6426;Roppen;Österreich
Abfallentsorgungsverband Kufstein;Fischergries 2;6330;Kufstein;Österreich
Abfallverband Großraum Salzburg;Aupoint 15;5101;Bergheim;Österreich
Abfallwirtschaft Tirol-Mitte Ges.mbH.;Münchnerstraße 22;6130;Schwaz;Österreich
Abfallwirtschaftsverband Bezirk Kitzbühel;Josef-Hager-Straße 15;6372;Oberndorf in Tirol;Österreich
Abfallwirtschaftsverband Bezirk Reutte;Kirchplatz 3;6671;Weißenbach am Lech;Österreich
Abfallwirtschaftsverband Deutschlandsberg;Kirchengasse 7;8530;Deutschlandsberg;Österreich
Abfallwirtschaftsverband Feldbach;ÖKO-Platz 1;8330;Feldbach;Österreich
Abfallwirtschaftsverband Fürstenfeld;Bahnhofstraße 9-11;8280;Fürstenfeld;Österreich
Abfallwirtschaftsverband Graz-Umgebung;Feldkirchner Straße 96;8055;Seiersberg-Pirka;Österreich
Abfallwirtschaftsverband Hartberg;Nr. 170;8295;St. Johann in der Haide;Österreich
Abfallwirtschaftsverband Judenburg;Burggasse 36;8750;Judenburg;Österreich
Abfallwirtschaftsverband Klagenfurt;Neuer Platz 1;9020;Klagenfurt am Wörthersee;Österreich
Abfallwirtschaftsverband Knittelfeld;Anton Regner Straße 31;8720;Knittelfeld;Österreich
Abfallwirtschaftsverband Lavanttal;Hart 50;9473;Lavamünd;Österreich
Abfallwirtschaftsverband Leibnitz;Kadagasse 4/1 ;8430;Leibnitz;Österreich
Abfallwirtschaftsverband Leoben;Erzherzog-Johann-Straße 2;8700;Leoben;Österreich
